year,category,laureate,organization,motivation,portion,prize_amount,prize_amount_adjusted,date_awarded
1901,Chemistry,Jacobus H. van 't Hoff,,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1,150782,10833458,1901-11-12
1901,Literature,Sully Prudhomme,,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1,150782,10833458,1901-11-14
1901,Peace,Henry Dunant,,for his humanitarian efforts to help wounded soldiers and create international understanding,1/2,150782,10833458,1901-12-10
1901,Peace,Frédéric Passy,,"for his lifelong work for international peace conferences, diplomacy and arbitration",1/2,150782,10833458,1901-12-10
1901,Physics,Wilhelm Conrad Röntgen,,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1,150782,10833458,1901-11-12
1901,Physiology or Medicine,Emil von Behring,,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1,150782,10833458,1901-10-30
1902,Chemistry,Emil Fischer,,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1,141847,10191492,1902-11-11
1902,Literature,Theodor Mommsen,,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1,141847,10191492,1902-11-13
1902,Peace,Élie Ducommun,,for his untiring and skilful directorship of the Bern Peace Bureau,1/2,141847,10191492,1902-12-10
1902,Peace,Albert Gobat,,for his eminently practical administration of the Inter-Parliamentary Union,1/2,141847,10191492,1902-12-10
1902,Physics,Hendrik A. Lorentz,,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,141847,10191492,1902-11-11
1902,Physics,Pieter Zeeman,,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,141847,10191492,1902-11-11
1902,Physiology or Medicine,Ronald Ross,,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1,141847,10191492,1902-10-30
1903,Chemistry,Svante Arrhenius,,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1,141358,9857642,1903-11-12
1903,Literature,Bjørnstjerne Bjørnson,,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1,141358,9857642,1903-11-19
1903,Peace,Randal Cremer,,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1,141358,9857642,1903-12-10
1903,Physics,Henri Becquerel,,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2,141358,9857642,1903-11-12
1903,Physics,Pierre Curie,,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,141358,9857642,1903-11-12
